column_name,min,max
476b2280-2fed-4347-8ef0-b29300ac44f7,145.91500000000002,351.5
290f8e4f-70e7-44c9-89c7-b29300ac44f8,120.08250000000001,290.0
dc493bb9-c41b-4215-9be5-b29300ac42f5,91.99999809265135,141.19999504089355
b5f37e41-e0b9-478f-8d7b-b29300ac42f7,87.60000038146973,129.15599634170508
a5e67b0a-f49c-40e2-a56e-b29300ac4307,106.399995803833,160.79999542236328
9c28a36b-3847-431b-8eb8-b29300ac4653,93.1999969482422,214.79999542236328
c3c02ef4-7606-4edf-949c-b29300ac4654,97.5999984741211,204.0
66b6f879-2075-4f24-8851-b29300ac4657,93.59999796295166,147.99999746322632
aca6628a-a5cf-41fe-8ccf-b29300ac4658,69.5999984741211,130.39999771118164
30994d4f-6da1-45ba-984f-b29300ac4309,145.5999984741211,263.19998931884766
30994d4f-6da1-45ba-984f-b29300ac4309,145.5999984741211,263.19998931884766
9180fdbf-ad01-47a3-aa23-b29300ac465d,0.0,18.924999556541444
b5254281-255c-4c3d-a90d-b29300ac4305,102.39999389648438,209.59999340057374
